state,old_district,new_district,matched_pop
CA,31,31,519479
CA,31,38,237633
CA,32,26,76159
CA,32,27,55676
CA,32,29,33176
CA,32,30,94
CA,32,32,593217
CA,33,23,15829
CA,33,28,42520
CA,33,33,672022
CA,33,35,26847
CA,34,34,757694
CA,35,28,15725
CA,35,31,194499
CA,35,33,31207
CA,35,35,520908
CA,36,36,758224
CA,37,37,755317
CA,38,31,30728
CA,38,38,299687
CA,38,41,372459
CA,38,45,54849
CA,39,23,1095
CA,39,33,10250
CA,39,39,745166
CA,39,40,0
CA,40,35,56861
CA,40,38,104976
CA,40,40,246364
CA,40,46,48992
CA,40,47,301851
CA,41,23,25909
CA,41,25,105880
CA,41,35,122623
CA,41,39,11338
CA,41,40,382932
CA,41,48,113105
CA,42,38,93886
CA,42,41,243815
CA,42,42,266566
CA,42,44,133360
CA,42,45,19257
CA,43,43,754875
CA,44,41,66035
CA,44,42,67567
CA,44,44,624349
CA,45,38,21341
CA,45,41,69341
CA,45,45,644483
CA,45,46,23386
CA,46,40,2631
CA,46,42,30582
CA,46,45,39125
CA,46,46,685305
CA,47,41,6093
CA,47,42,393277
CA,47,45,607
CA,47,46,0
CA,47,47,359084
CA,48,25,893
CA,48,40,116151
CA,48,48,245377
CA,48,49,46039
CA,48,50,158051
CA,48,51,163850
CA,48,52,28256
CA,49,40,10277
CA,49,47,98308
CA,49,48,133168
CA,49,49,516763
CA,50,48,154404
CA,50,49,173500
CA,50,50,330651
CA,50,51,100707
CA,50,52,70
CA,51,49,22350
CA,51,50,270662
CA,51,51,430156
CA,51,52,35033
CA,52,51,63299
CA,52,52,697888
FL,1,1,769221
FL,2,2,769221
FL,3,3,769221
FL,4,4,769221
FL,5,5,769221
FL,6,6,769221
FL,7,7,769221
FL,8,8,609433
FL,8,9,159788
FL,9,8,27
FL,9,9,444515
FL,9,10,100755
FL,9,11,100471
FL,9,18,123453
FL,10,8,159760
FL,10,10,591443
FL,10,11,18018
FL,11,6,0
FL,11,10,77023
FL,11,11,650732
FL,11,18,41466
FL,12,3,0
FL,12,12,318873
FL,12,13,62348
FL,12,15,388000
FL,13,13,606406
FL,13,16,162815
FL,14,12,242819
FL,14,13,100467
