state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 9,9,Leticia Gutierrez,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Leticia_Gutierrez,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Leticia Gutierrez,,,
Texas,District 9,9,Todd Ivey,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Todd_Ivey,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Todd Ivey,,,
Texas,District 9,9,Marty Rocha,Democratic Party,active,Democratic primary,False,False,https://ballotpedia.org/Marty_Rocha,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Marty Rocha,,,
Texas,District 9,9,Terry Virts,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Terry_Virts,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Terry Virts,,,
Texas,District 9,9,Al Green,Green Party,did_not_make_ballot,Democratic primary,True,False,https://ballotpedia.org/Al_Green_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Al Green (Incumbent),,,
Texas,District 9,9,Jaimy Annette Zoboulikos-Blanco,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Jaimy_Blanco,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Jaimy Annette Zoboulikos-Blanco,,,
Texas,District 9,9,Briscoe Cain,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Briscoe_Cain,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Briscoe Cain,,,
Texas,District 9,9,Michael Curran,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Michael_Curran,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Michael Curran,,,
Texas,District 9,9,Alex Mealer,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Alex_Mealer,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alex Mealer,,,
Texas,District 9,9,Dan Mims,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Dan_Mims_(Texas),"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dan Mims,,,
Texas,District 9,9,Crystal Sarmiento,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Crystal_Sarmiento,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Crystal Sarmiento,,,
Texas,District 9,9,Steve Stockman,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Steve_Stockman,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Steve Stockman,,,
Texas,District 9,9,Dwayne Stovall,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Dwayne_Stovall,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dwayne Stovall,,,
Texas,District 9,9,Terry Lee Thain,Republican Party,active,Republican primary,False,False,https://ballotpedia.org/Terry_Lee_Thain,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Terry Lee Thain,,,
Texas,District 9,9,Alexandria Butler,Republican Party,did_not_make_ballot,Republican primary,False,True,https://ballotpedia.org/Alexandria_Butler,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Alexandria Butler,,,
Texas,District 9,9,Peter Emmert,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Peter_Emmert,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Peter Emmert,,,
